attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
38 ,63 ,358607 ,80397 ,22757 ,23158 ,22757 ,5676 ,5459 ,2606 ,0 
36 ,65 ,451983 ,132126 ,31153 ,23352 ,31153 ,6222 ,5592 ,2786 ,0 
35 ,63 ,352014 ,151055 ,38588 ,29464 ,38588 ,7177 ,8601 ,3908 ,0 
33 ,60 ,400490 ,153057 ,39645 ,29525 ,39645 ,7402 ,8638 ,3962 ,0 
32 ,55 ,824277 ,197070 ,62271 ,53684 ,62271 ,14750 ,14427 ,7120 ,0 
30 ,50 ,823263 ,203662 ,62265 ,50261 ,62265 ,13870 ,12699 ,6991 ,0 
36 ,47 ,1055596 ,146983 ,54890 ,50290 ,54890 ,15864 ,14903 ,7756 ,0 
47 ,45 ,1052409 ,103047 ,36761 ,37623 ,36761 ,17932 ,12378 ,7302 ,0 
58 ,41 ,1064369 ,137684 ,35626 ,40568 ,35626 ,19532 ,12800 ,7963 ,0 
70 ,36 ,787972 ,313040 ,64187 ,33874 ,64187 ,49580 ,29621 ,9740 ,0 
78 ,32 ,1008169 ,284080 ,64641 ,36658 ,64641 ,49967 ,29827 ,9286 ,0 
76 ,30 ,745022 ,303380 ,64029 ,40627 ,64029 ,49196 ,28471 ,8426 ,0 
70 ,33 ,1012226 ,308876 ,69427 ,52033 ,69427 ,47053 ,28035 ,7534 ,0 
63 ,39 ,1133116 ,293033 ,77465 ,56515 ,77465 ,46779 ,28412 ,7500 ,0 
52 ,45 ,961341 ,71274 ,24219 ,31228 ,24219 ,8024 ,4953 ,2018 ,0 
44 ,52 ,798396 ,92030 ,27815 ,37537 ,27815 ,9386 ,5418 ,1970 ,0 
40 ,57 ,679367 ,75741 ,27767 ,39201 ,27767 ,8169 ,4231 ,1991 ,0 
40 ,57 ,408685 ,76046 ,22725 ,31083 ,22725 ,8873 ,4090 ,1916 ,0 
44 ,57 ,252776 ,57796 ,14349 ,24083 ,14349 ,8118 ,3456 ,1374 ,0 
52 ,57 ,253775 ,64952 ,25086 ,35004 ,25086 ,10370 ,4186 ,1884 ,0 
58 ,56 ,173421 ,56472 ,24008 ,29860 ,24008 ,9435 ,5621 ,2319 ,0 
63 ,54 ,188761 ,67937 ,27017 ,24379 ,27017 ,10193 ,6471 ,2454 ,0 
64 ,55 ,303255 ,66040 ,28843 ,26207 ,28843 ,9382 ,6269 ,2785 ,0 
62 ,57 ,325998 ,71214 ,30701 ,38284 ,30701 ,10594 ,6998 ,4372 ,0 
57 ,61 ,475434 ,88365 ,30892 ,32202 ,30892 ,9582 ,6658 ,4674 ,0 
53 ,68 ,432184 ,66578 ,31167 ,35029 ,31167 ,9241 ,5074 ,4419 ,0 
50 ,74 ,508073 ,61404 ,32687 ,38886 ,32687 ,9319 ,5189 ,4828 ,0 
51 ,78 ,372982 ,51177 ,30790 ,34095 ,30790 ,7940 ,4614 ,4040 ,0 
52 ,80 ,633188 ,74345 ,34086 ,24708 ,34086 ,8281 ,4785 ,2755 ,0 
55 ,76 ,469632 ,60875 ,27217 ,21054 ,27217 ,8248 ,4360 ,2090 ,0 
56 ,69 ,489016 ,73644 ,20755 ,17839 ,20755 ,7212 ,3077 ,1676 ,0 
55 ,61 ,444783 ,155506 ,23299 ,31431 ,23299 ,14522 ,2631 ,1596 ,0 
54 ,54 ,492889 ,160969 ,22900 ,32471 ,22900 ,15101 ,2929 ,1575 ,0 
51 ,47 ,379592 ,162281 ,22793 ,32251 ,22793 ,14517 ,2677 ,1885 ,0 
48 ,43 ,425120 ,177952 ,20963 ,40627 ,20963 ,14775 ,3716 ,2241 ,0 
51 ,41 ,436894 ,189286 ,21708 ,49968 ,21708 ,33078 ,4974 ,4432 ,0 
57 ,41 ,833764 ,174117 ,44223 ,70491 ,44223 ,56447 ,9764 ,7817 ,0 
61 ,40 ,806271 ,171791 ,43400 ,67627 ,43400 ,55309 ,9274 ,7827 ,0 
67 ,40 ,873964 ,148930 ,41144 ,68670 ,41144 ,54985 ,8831 ,7793 ,0 
70 ,41 ,845824 ,128070 ,41179 ,60516 ,41179 ,54573 ,7891 ,7414 ,0 
67 ,42 ,915758 ,124554 ,41149 ,57570 ,41149 ,38374 ,10023 ,5689 ,0 
64 ,44 ,500913 ,106606 ,27146 ,30985 ,27146 ,12313 ,7899 ,2572 ,0 
61 ,47 ,711294 ,165420 ,80618 ,39181 ,80618 ,19307 ,9024 ,3321 ,0 
56 ,49 ,622566 ,158476 ,79825 ,36548 ,79825 ,18392 ,9153 ,2716 ,0 
52 ,53 ,638118 ,155383 ,82491 ,36057 ,82491 ,17643 ,9543 ,2613 ,0 
49 ,56 ,572353 ,151558 ,79846 ,26741 ,79846 ,15302 ,5898 ,2147 ,0 
44 ,54 ,560153 ,96255 ,63551 ,14302 ,63551 ,9230 ,2689 ,1362 ,0 
39 ,49 ,406659 ,69686 ,10717 ,8042 ,10717 ,3968 ,2057 ,1114 ,0 
36 ,42 ,360621 ,73717 ,13571 ,7284 ,13571 ,4051 ,1595 ,1315 ,0 
38 ,35 ,563040 ,102498 ,12136 ,9666 ,12136 ,9399 ,4776 ,2169 ,0 
41 ,30 ,873037 ,117540 ,13909 ,16448 ,13909 ,11517 ,6797 ,2652 ,0 
45 ,29 ,919893 ,118768 ,14991 ,18803 ,14991 ,11991 ,7827 ,3156 ,0 
52 ,32 ,1034162 ,90966 ,22031 ,16528 ,22031 ,11830 ,9139 ,3158 ,0 
58 ,37 ,1112773 ,112560 ,24260 ,24606 ,24260 ,18712 ,11852 ,4391 ,0 
64 ,41 ,1142489 ,85761 ,21564 ,24009 ,21564 ,17104 ,10256 ,5232 ,0 
72 ,45 ,983060 ,73081 ,30062 ,23452 ,30062 ,20307 ,11831 ,5554 ,0 
77 ,47 ,1366716 ,189402 ,109579 ,90883 ,109579 ,34025 ,18138 ,9141 ,0 
79 ,46 ,1317513 ,216704 ,103588 ,91221 ,103588 ,34522 ,18888 ,9126 ,0 
76 ,44 ,1271382 ,263675 ,111355 ,91899 ,111355 ,31143 ,17660 ,9255 ,0 
70 ,39 ,1371799 ,406339 ,118621 ,96843 ,118621 ,52587 ,22590 ,11344 ,0 
62 ,33 ,1277713 ,388574 ,107505 ,90500 ,107505 ,46988 ,19168 ,10455 ,0 
55 ,27 ,939192 ,301766 ,28277 ,21386 ,28277 ,34639 ,12740 ,6611 ,0 
53 ,25 ,803501 ,269395 ,30630 ,21434 ,30630 ,33246 ,10464 ,6356 ,0 
53 ,26 ,840874 ,241330 ,49515 ,14711 ,49515 ,33546 ,12113 ,7136 ,0 
54 ,30 ,583760 ,110960 ,51363 ,10908 ,51363 ,12505 ,6699 ,4066 ,0 
58 ,38 ,502172 ,112314 ,52229 ,10749 ,52229 ,13122 ,7347 ,4265 ,0 
58 ,41 ,448721 ,122442 ,52305 ,10908 ,52305 ,11768 ,6784 ,4674 ,0 
54 ,41 ,462142 ,150376 ,51540 ,13761 ,51540 ,11918 ,7193 ,5540 ,0 
51 ,36 ,513703 ,118703 ,18079 ,12521 ,18079 ,8597 ,6407 ,3776 ,0 
44 ,31 ,431079 ,103384 ,8438 ,8612 ,8438 ,4406 ,4845 ,3047 ,0 
39 ,26 ,619350 ,126745 ,12700 ,13445 ,12700 ,6027 ,5315 ,3651 ,0 
40 ,27 ,642450 ,107074 ,20985 ,23197 ,20985 ,10728 ,7324 ,4107 ,0 
43 ,31 ,748687 ,137806 ,26585 ,34261 ,26585 ,14354 ,8765 ,4596 ,0 
48 ,35 ,526790 ,204230 ,37261 ,37252 ,37261 ,25358 ,11687 ,6914 ,0 
57 ,39 ,580546 ,202137 ,37171 ,36635 ,37171 ,25569 ,11609 ,6914 ,0 
62 ,41 ,632559 ,212409 ,73977 ,40184 ,73977 ,27806 ,12845 ,7004 ,0 
64 ,43 ,818358 ,195430 ,81686 ,31949 ,81686 ,24276 ,12230 ,6239 ,0 
62 ,46 ,1049405 ,137297 ,73489 ,18831 ,73489 ,20086 ,10325 ,4787 ,0 
61 ,50 ,995815 ,54707 ,62580 ,14415 ,62580 ,8178 ,5198 ,1896 ,0 
55 ,53 ,1049602 ,110142 ,78485 ,22468 ,78485 ,9132 ,7132 ,3049 ,0 
54 ,54 ,829060 ,72830 ,36430 ,13424 ,36430 ,4794 ,5092 ,2189 ,0 
52 ,53 ,956404 ,178165 ,42813 ,38992 ,42813 ,9322 ,7810 ,4951 ,0 
52 ,49 ,602235 ,175473 ,42047 ,37730 ,42047 ,9002 ,7631 ,4801 ,0 
52 ,45 ,819900 ,194801 ,42415 ,42221 ,42415 ,10076 ,8472 ,5117 ,0 
52 ,42 ,1027876 ,265079 ,78379 ,56479 ,78379 ,24300 ,18252 ,6766 ,0 
51 ,38 ,1318082 ,285130 ,79774 ,59570 ,79774 ,26734 ,19687 ,7654 ,0 
50 ,36 ,1242221 ,237111 ,60339 ,49624 ,60339 ,27097 ,28987 ,8264 ,0 
52 ,34 ,1394604 ,257429 ,63334 ,51800 ,63334 ,28415 ,30804 ,9309 ,0 
51 ,32 ,1400950 ,251202 ,63323 ,48554 ,63323 ,27765 ,30693 ,9095 ,0 
54 ,31 ,1147861 ,129210 ,12992 ,28422 ,12992 ,13610 ,20285 ,7083 ,0 
56 ,32 ,864722 ,126767 ,16509 ,28398 ,16509 ,16193 ,20124 ,7359 ,0 
60 ,35 ,716419 ,77003 ,30457 ,24640 ,30457 ,14659 ,8732 ,4749 ,0 
64 ,40 ,732907 ,72005 ,42039 ,27807 ,42039 ,15052 ,7228 ,4337 ,0 
66 ,44 ,660307 ,115378 ,41965 ,29760 ,41965 ,16972 ,7709 ,4764 ,0 
65 ,48 ,712089 ,112179 ,40206 ,29039 ,40206 ,15825 ,6853 ,4614 ,0 
63 ,49 ,860535 ,105469 ,37775 ,29618 ,37775 ,12701 ,7366 ,3966 ,0 
58 ,46 ,708317 ,91789 ,18909 ,15837 ,18909 ,7372 ,5223 ,2851 ,0 
52 ,42 ,594726 ,83648 ,5511 ,11658 ,5511 ,5848 ,4956 ,2256 ,0 
48 ,40 ,596231 ,69535 ,9176 ,15332 ,9176 ,6276 ,5183 ,2594 ,0 
47 ,36 ,858084 ,149761 ,32948 ,19238 ,32948 ,46164 ,9285 ,9550 ,0 
48 ,34 ,924777 ,159326 ,38724 ,17726 ,38724 ,45725 ,8615 ,9773 ,0 
52 ,34 ,1202020 ,206672 ,48092 ,21689 ,48092 ,52303 ,10723 ,11730 ,0 
59 ,33 ,1240091 ,216091 ,49855 ,24079 ,49855 ,56601 ,14156 ,12598 ,0 
65 ,34 ,1135255 ,182558 ,50382 ,17928 ,50382 ,54851 ,15308 ,12596 ,0 
67 ,36 ,735205 ,105848 ,28237 ,12991 ,28237 ,14779 ,10937 ,5265 ,0 
70 ,37 ,489836 ,87232 ,19975 ,10527 ,19975 ,13802 ,9462 ,4733 ,0 
67 ,39 ,210184 ,54883 ,19280 ,12879 ,19280 ,8433 ,8860 ,3327 ,0 
61 ,40 ,155725 ,58248 ,20535 ,15024 ,20535 ,6231 ,7032 ,3327 ,0 
60 ,40 ,107004 ,63348 ,17870 ,21600 ,17870 ,6394 ,7195 ,3232 ,0 
58 ,43 ,104252 ,62185 ,16955 ,23487 ,16955 ,7276 ,8198 ,3450 ,0 
58 ,43 ,141731 ,76452 ,18229 ,23923 ,18229 ,9957 ,9128 ,4160 ,0 
62 ,42 ,206003 ,64563 ,12667 ,18580 ,12667 ,9766 ,8788 ,4131 ,0 
65 ,42 ,730940 ,87263 ,18563 ,26944 ,18563 ,10915 ,10336 ,4907 ,0 
64 ,41 ,954396 ,112538 ,25167 ,28769 ,25167 ,10746 ,8220 ,4374 ,0 
63 ,41 ,1327935 ,126607 ,34531 ,29867 ,34531 ,12916 ,8066 ,5793 ,0 
58 ,42 ,1796869 ,203433 ,42042 ,39074 ,42042 ,17473 ,8334 ,7471 ,0 
51 ,42 ,1747115 ,205981 ,41392 ,39509 ,41392 ,16933 ,7577 ,7186 ,0 
49 ,44 ,1212257 ,173126 ,32697 ,31941 ,32697 ,15774 ,6003 ,6623 ,0 
47 ,44 ,1412781 ,203281 ,34643 ,34248 ,34643 ,17494 ,5999 ,7564 ,0 
49 ,43 ,1486104 ,198097 ,27173 ,33469 ,27173 ,17275 ,6258 ,6100 ,0 
51 ,41 ,1073904 ,277227 ,36894 ,44260 ,36894 ,16180 ,5745 ,4278 ,0 
53 ,40 ,1460308 ,324013 ,48327 ,59712 ,48327 ,24002 ,14145 ,6012 ,0 
53 ,40 ,1641850 ,328624 ,51166 ,60222 ,51166 ,24246 ,13918 ,5222 ,0 
53 ,38 ,1367225 ,290198 ,40923 ,50595 ,40923 ,22942 ,13729 ,4989 ,0 
53 ,34 ,1005105 ,284600 ,38132 ,48034 ,38132 ,20261 ,12952 ,5082 ,0 
53 ,30 ,1110203 ,128063 ,24064 ,30031 ,24064 ,17135 ,13201 ,4843 ,0 
53 ,25 ,795334 ,90651 ,11706 ,18608 ,11706 ,9766 ,4699 ,2984 ,0 
51 ,22 ,792694 ,84595 ,8966 ,12574 ,8966 ,8030 ,3659 ,2952 ,0 
49 ,21 ,679071 ,82568 ,9848 ,11938 ,9848 ,6659 ,3254 ,2448 ,0 
43 ,21 ,620789 ,78029 ,9903 ,12003 ,9903 ,6392 ,2765 ,1966 ,0 
