delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,level
381921,113880,16792,15564,6992,13366,7753,10130,0
108833,34952,10950,25073,14257,3529,6322,4461,0
1767280,298472,20766,24121,14334,18632,17099,8461,0
280970,37685,18884,7934,6134,3914,8292,1914,0
1851803,235467,72463,22522,24900,11957,20970,19977,0
125021,27936,30672,1471,2831,3290,2489,3327,0
1383494,114451,18998,20336,20354,13542,15192,11515,0
558462,97871,13745,32355,4916,12205,15699,11422,0
466174,163777,17228,21264,12558,8181,12372,12311,0
2461930,585227,817928,68922,27695,66919,69092,59956,0
1510238,55942,3322,2775,2496,1393,6780,2799,0
2016892,155357,20455,17220,32388,14841,30275,10927,0
1158377,113121,24958,12416,14494,11571,27247,5105,0
359811,94162,4625,46567,6404,23932,17726,22519,0
272849,28177,36731,8746,1563,3131,3265,2103,0
132736,35897,19293,3898,5484,3670,3556,2931,0
864325,1100242,51713,84219,98623,73311,88479,40033,0
1527780,110319,34511,34465,11670,17509,12571,9551,0
1708737,229383,8939,3153,37771,7586,23023,13863,0
1723968,76535,62505,18600,7177,13478,23326,15594,0
1704327,97424,8861,22082,19030,11130,16143,12008,0
911353,117582,10800,33842,7929,9371,9033,5940,0
68944,97856,1263,10182,2499,3937,3712,2382,0
118740,20224,8356,5357,1998,2047,3472,3880,0
1290179,169448,102062,37565,26868,31600,48697,12960,0
148853,104858,15091,16255,7603,6452,15248,2611,0
1674094,247267,72926,65684,33045,36773,33142,25113,0
2056763,312835,156830,37656,54275,41033,31221,13419,0
384785,86304,18105,13304,5381,11327,13062,7787,0
871877,95442,17755,5578,11919,8371,7157,4653,0
183795,61582,6717,7586,16394,54732,31353,29345,0
605936,233738,23488,46061,26797,42353,19828,20555,0
499503,6707,3125,503,3395,2165,1603,1618,0
410261,132412,11192,10031,6970,6848,4753,12973,0
246884,144009,14928,5271,9245,12943,11993,5349,0
798456,86888,69767,60113,30525,40889,41167,23095,0
