delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
50180,52634,40665,31618,15498,3755,1310,750
31569,66799,32881,200699,16245,3238,1777,737
10891,35959,64620,185797,19157,5073,832,721
101363,13629,13118,11465,6136,1725,528,355
1547099,80829,39870,217905,28932,12367,1397,1140
59235,71915,4327,15057,5376,3867,941,1478
22183,34456,32371,4455,4388,2060,729,1523
30398,51570,7892,8377,7631,3350,1610,1321
82387,51203,30784,119227,43779,7350,1361,740
132437,36000,18445,13312,14307,7182,1411,795
52951,127993,4200,4255,6167,3513,713,1413
88527,47124,29744,8563,5599,2394,4355,1124
23799,9969,17118,5772,3693,1741,1011,732
57528,30142,37156,23798,5543,4193,935,811
87511,28298,12572,29106,14561,2819,906,1092
19896,98352,2999,16697,6898,2484,1224,1139
44374,56865,16301,22047,8607,1767,1149,1294
156530,51141,96485,20905,14558,2559,1386,2177
7895,78181,27345,14603,23999,2983,2078,1464
104691,79526,19902,47252,63357,3741,1415,1897
108503,126639,5265,14778,4688,2453,974,1477
198846,184044,50565,67193,29228,18456,3775,1207
21858,40774,24082,18057,30096,13849,4126,2489
21946,45348,11001,16947,5662,3943,2546,1725
18781,11570,3972,12535,3867,4231,1038,1329
74283,145234,19673,29659,6664,2364,1220,1388
40897,57986,5846,1583,9143,2400,1453,2575
10824,28181,11402,11409,7893,8061,937,1014
44646,29465,15192,6333,12121,4674,2003,2033
30793,76942,33206,10734,3943,2909,393,759
29622,33147,8681,10593,3097,3487,2714,350
41940,82204,23740,21622,4852,3042,1351,1250
31267,18427,42267,5193,15175,3599,1419,1176
118360,81559,41736,23518,1260,3546,1225,917
625170,163703,13730,330041,37636,12266,2734,2303
29869,28605,43924,81283,27596,2378,1082,779
69398,48549,13867,9502,6017,4635,1057,445
91997,23010,23193,26436,7703,5168,2059,895
47695,64109,11852,9186,2673,1890,1602,554
31001,68640,8069,5446,4569,1613,1191,1282
45960,37662,13195,157679,51430,3543,1595,834
52817,53649,35715,10676,17746,4971,1327,1198
11535,48027,8887,28249,7705,3136,1835,901
17279,71672,14902,69962,19371,4811,1276,909
25904,29039,26102,131944,89378,3444,1139,1661
180150,26458,10157,12835,3468,2808,1841,544
