delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention
1286764,28556,18741,10009,12972,2493,1301,706,47
11416,11012,3763,3866,6459,3705,2901,763,51
488912,54587,40907,12271,4298,5962,1821,1636,47
614475,33424,33399,8052,7275,6225,4340,2600,51
81276,17983,53821,9285,8185,3057,1509,1058,41
19865,15721,32327,14719,4856,3924,4665,2061,30
126977,36342,12688,26227,13943,5771,2541,5074,35
53891,39240,47383,20667,10391,5771,2965,1789,30
141377,102956,35780,10624,17538,6846,3104,2205,34
92265,41880,32095,13706,11823,6921,2341,4330,35
8008,30671,4882,6635,5552,4551,2650,2388,38
20377,38998,5306,6317,4410,13447,2250,4004,53
18980,10087,4247,8554,8135,14897,6784,3852,77
313274,50734,6919,4583,6412,1963,478,485,67
351529,121849,17118,20877,12452,13990,23926,5996,66
45051,85379,4104,27950,19745,10413,5126,2952,56
605088,47859,31519,9530,25727,21494,10426,4988,48
47520,33373,21989,19986,10263,4404,4295,1556,54
197362,172326,65137,6310,9440,4590,3436,4512,40
63072,63448,13272,2265,7028,11526,2710,3028,35
58063,103795,75739,39299,35478,11265,4398,3450,34
17456,19752,2017,7644,8197,7848,3129,3324,57
106061,38103,18841,21169,7515,13099,11685,7617,63
31729,67961,5816,17316,2668,19553,7860,4128,66
61565,43296,2991,8391,4653,7874,3952,4594,77
125622,43794,14436,7688,10198,3586,1877,3458,61
635257,19233,14393,16029,9066,8006,17841,5386,61
240708,27060,2793,4596,1677,4984,4207,3524,57
1445648,328145,28265,16561,35599,10867,3296,12070,43
210206,82771,49939,35391,43234,22796,4814,2059,51
650384,375787,104172,90032,20407,8114,15115,3576,29
47697,54017,16449,8731,22860,7092,4600,3262,26
17592,91745,19807,7785,4040,2956,4298,1292,24
93007,43849,9820,7939,3985,2846,1533,1681,14
229731,355560,15891,29358,60181,8341,12700,4411,17
1465385,400506,42830,19820,24688,19022,6920,4969,11
51447,263067,5216,5174,12844,6633,5065,6414,17
29282,44162,16923,4602,15900,11187,11339,7979,35
39921,40060,15117,5520,6335,9133,4743,4943,47
229942,84902,25788,11892,7181,2514,4482,2704,34
309589,51976,2364,775,6017,4623,1750,1277,44
37966,36829,6343,6592,11127,11628,6931,2012,48
27245,83643,59602,4609,4484,8793,3996,8167,40
293368,83184,15464,22406,6137,4543,3667,2196,44
66529,63522,41134,26477,8739,5265,2921,3732,38
25102,24401,6773,12806,16630,9086,4619,2440,37
178361,99119,27401,13406,35828,24120,7829,8318,47
103370,37411,49378,24175,9261,34660,6003,4063,64
120837,57603,4217,6396,10672,16857,12163,13369,81
269312,38681,4537,4898,2378,849,617,400,60
440296,87509,20195,6186,8415,4212,3777,2875,48
29164,22393,35068,4156,4863,3754,6220,3060,34
142675,44925,3281,9438,3547,2390,3122,940,16
243301,118736,2047,6413,4320,3249,1483,870,20
252063,202367,78565,10443,17571,6642,5428,4027,13
170034,8441,1240,630,367,666,339,178,14
182576,26107,6371,10470,3694,2242,1469,809,16
513831,52020,1255,5169,6844,7687,2346,1069,30
16867,43514,3088,1454,8253,6053,3647,6073,48
393507,75753,19813,8523,4634,3566,4352,2498,43
40044,27123,18616,12563,18546,18798,3688,5181,51
371868,24605,10520,33473,7202,22115,6883,9001,57
106858,7181,9580,5870,3210,4874,2422,4304,69
19959,62711,10256,6263,7839,18776,14126,8468,88
798013,50102,24836,35725,6422,16110,11143,6071,81
149684,49484,1626,19166,18537,18009,10669,3370,80
15629,4925,54577,4246,9478,3485,2803,1383,66
21801,19976,25797,14419,16418,11086,2093,3995,63
57296,41244,30377,16602,16797,5537,8162,4782,56
268661,51340,54248,11752,10948,12663,2170,3067,48
31111,22760,10342,12944,6122,6611,2313,3634,56
108081,39408,42409,7496,14201,6093,4409,3893,48
106017,83633,45719,2957,3424,3982,789,849,41
1418625,65522,27818,13796,6639,3962,1769,2253,30
6882,20491,123359,9399,3667,9823,4327,1756,24
182322,42911,1371,6271,8344,6588,839,675,29
69435,123777,45856,16773,28087,13775,7380,4287,40
5015,18099,17842,5728,6842,6381,2340,1894,51
49025,3999,13759,2060,6142,2884,2665,1674,53
652861,110698,71354,23363,25707,8794,5616,5350,48
22565,19618,59310,6309,7565,11120,5720,4823,54
46337,42309,20381,11526,13133,14612,4764,4865,56
94680,61824,8977,14459,11509,10620,3974,3083,54
198437,116264,22083,22571,18096,12763,8248,4493,61
971225,237486,40162,35136,30911,11241,19109,5277,50
112889,37464,1422,11995,2612,1633,992,1588,34
21062,36626,28717,11929,8855,13622,1566,1822,37
26837,22154,18367,13354,2474,8979,3402,897,41
7855,11707,26294,7906,11127,4859,1559,1338,51
55189,25666,11832,2430,8824,4788,5439,2812,64
118214,62802,34035,24028,7588,3239,2361,1819,48
1941554,330805,87519,21425,20431,10109,7910,4596,29
334217,64062,5712,10181,30898,7484,11016,1561,29
283991,241798,21211,9553,28141,4221,6823,6116,10
544835,28097,604,15309,13289,7865,3530,1802,27
65750,62189,27473,11679,11337,2985,3762,3974,29
79930,50649,23519,14768,17133,11298,8446,6798,34
100174,13444,4030,409,1036,1486,294,521,48
41636,36827,36359,8455,8030,4865,1900,3211,38
481310,6099,5008,14547,4454,5273,1065,608,56
127308,28507,7455,11412,5466,7219,1771,2297,57
29309,17566,3558,8912,2174,8030,1463,2091,67
1924213,229049,82674,8762,3347,15515,4745,4282,56
131873,26253,3416,6845,8332,2113,3722,2417,48
352724,505528,18972,11052,29351,22969,2543,2249,43
53650,6057,3411,2683,5767,7993,4909,2656,51
8742,9452,17946,9420,2869,4831,3029,1660,61
30207,9293,18611,11728,6808,14217,2983,2256,77
63927,55065,16052,25713,10035,5287,5950,4420,80
36277,10407,31202,6435,7522,9926,4710,3675,67
18475,11224,33342,17713,2890,3324,2947,6339,60
32555,15260,8114,2997,6112,5775,2667,2147,54
71540,41061,38804,2998,9222,5138,4519,2448,56
240638,153308,24940,25251,30894,8297,2895,3464,43
1355012,212489,29369,63734,12332,13318,6316,5438,41
53729,15371,5987,1983,2813,1189,1063,531,27
14742,25177,20031,7290,4431,9433,4783,2044,38
104103,37356,27592,11735,32866,13423,6017,4674,50
236225,10126,4169,1755,1493,3586,970,983,77
27837,65275,15374,12944,5873,7265,1607,1521,69
12454,3994,11258,3037,6966,5553,1517,1257,74
26959,23130,18282,6280,8771,7961,3417,1787,74
224177,46699,15981,11995,24556,10582,1989,2257,67
11228,24721,20511,2560,9991,4635,7399,7847,69
15704,12544,17833,7855,10971,5773,6229,2047,64
1198149,96599,58985,10978,15884,5740,3759,3938,50
498186,59647,8170,17083,13211,14677,2453,2626,51
147947,93293,14701,24705,11781,12725,3194,2984,51
1753878,92676,35705,24002,9074,8029,3107,1950,41
149476,16768,37644,4669,5955,6576,5349,1325,51
28286,23067,11962,11155,15897,7787,3249,2644,51
184992,99966,33283,18950,26508,20051,2626,1203,54
1728,33131,3060,6540,6212,5569,2363,1654,61
64535,143534,3400,21993,24784,8401,7737,3844,56
31936,11458,3602,2972,778,749,274,201,43
14909,18844,20372,2313,8626,4473,1723,1400,47
312873,16981,6602,1290,2380,2296,656,845,51
52800,8053,11669,11952,6057,8113,4952,1319,66
78853,27865,15784,23897,6037,5994,4245,3396,57
6538,21652,1418,6209,2693,8103,3498,2685,67
55719,10680,40648,12579,13162,6300,3724,1934,67
225129,165934,34429,12623,18764,19604,2493,3074,60
502428,194221,31943,28390,14761,9812,5641,3160,51
365038,46145,20829,10253,6453,2484,834,505,26
46429,18366,15644,4499,13576,5130,2148,2671,29
729491,100101,52159,6886,16233,11694,4460,1834,37
22729,38787,12970,23687,5395,5993,4213,2524,40
20500,19561,17060,2703,12193,5645,2457,3403,54
43928,20490,1816,9086,4607,2179,3179,1757,48
201066,35434,18264,5552,4936,4496,1247,715,50
11321,8979,21345,9678,10593,5423,1295,1012,48
70379,46286,57716,4040,3553,11995,2392,1332,53
23494,13844,10982,7601,13650,3864,2124,1059,54
41148,39091,9888,5016,5447,4448,1227,2113,56
10937,4512,3022,8753,2757,3753,2325,800,61
140255,12327,4647,3193,845,3859,721,338,66
257108,147121,92171,23628,7913,12865,2930,5673,57
19927,14975,30177,8743,5820,9907,1687,2234,56
20477,6493,22864,11524,3269,5911,2335,1956,53
41081,21225,13389,5068,12021,9143,2937,1564,67
75042,45606,30331,2640,4846,1892,3106,1032,56
7254,3678,8487,3693,5486,4994,1254,895,61
5078,5480,38270,1112,6367,2484,1204,3002,51
302736,120425,9321,2960,6735,2201,872,1188,27
117502,64860,19733,8239,1434,6677,2130,1294,38
69975,52591,54395,35402,17949,11123,7126,4947,26
21712,27420,83996,17913,30865,2771,2117,724,16
44125,14737,110133,2698,10393,6786,1959,3284,27
75992,36279,31311,8211,6766,3630,4731,1660,23
33755,9867,15116,16799,14280,5473,7437,2408,27
63080,15639,18844,2657,26879,5244,4455,1801,44
17591,61085,40044,2327,5472,4965,3521,3157,44
14612,33225,10889,7782,8386,4533,2423,3671,50
173009,11415,8493,7397,1233,2363,625,387,48
33913,15639,30038,23646,14541,4382,4690,6452,43
45883,11761,40539,7569,7154,17114,2428,2043,53
17895,15969,51500,2016,9886,4677,2911,2858,50
257607,113893,10861,6626,6091,3261,1027,1086,41
86678,6374,63911,13959,8733,6945,4190,3599,43
18941,16572,3928,5486,12002,8291,2801,2046,44
168856,11151,2207,2353,2040,1132,749,454,44
17479,74907,4544,11604,11469,4765,2392,3088,53
26453,28578,11497,6575,7585,4531,3528,1537,54
25208,18518,34108,9490,12613,6500,1702,1779,43
667898,109097,4090,19924,5023,3633,962,641,35
1450456,413609,65861,39355,37840,8068,11395,3216,23
64685,23833,1450,11354,6953,5036,2416,1744,26
3776,19401,8934,2035,3224,4293,2011,1591,30
52416,8952,6105,9308,5537,2764,2926,1337,43
36591,11659,6161,9709,2718,6889,1214,903,67
19591,8083,13209,17239,10328,4170,1770,1605,66
24619,32235,31188,6939,2427,6177,1349,2392,63
51629,9607,12985,20782,14175,5516,2487,709,63
69186,54888,37868,18183,17358,2989,2674,2327,43
11258,25753,27520,15236,11129,4637,2004,919,38
68022,39743,5112,5908,4557,2579,817,403,34
421620,100792,47237,7961,9285,4091,5247,1212,20
13033,18932,91716,30250,5935,4762,3027,1350,21
29258,39872,33622,20724,7065,4235,5126,3876,20
20214,22318,12291,886,6932,4002,1229,968,26
20188,29665,7911,6057,3014,4881,1499,1326,40
577953,141922,7860,741,4099,6001,992,460,40
16835,28354,24161,20734,4865,5453,2846,487,43
40260,33850,17051,12000,4637,5928,1489,746,41
16972,41252,6379,1418,2896,5294,2026,1155,41
149521,196794,40532,5029,17908,7666,6176,3109,40
13604,55240,33904,13661,10851,8563,1910,2560,41
6015,14206,2772,4870,6373,6486,2855,1628,51
151042,146212,11537,8430,9159,5279,2626,704,40
144190,38494,2766,10458,10609,2671,1358,918,44
5860,22346,30708,7878,7116,5637,4279,2372,44
74152,52977,5999,22277,5948,6259,1961,3780,35
473968,32899,6223,8461,3094,3604,802,1001,43
152410,36621,3367,7289,7036,901,1075,607,35
643376,114664,33497,11949,4077,11302,2970,1809,34
317509,27623,10771,3775,1794,2546,1761,707,29
31994,20456,34805,4350,7927,13764,1479,3294,38
490654,19544,3046,1255,3910,2647,346,428,53
722350,75952,9756,9270,7066,5723,2926,2187,51
12119,22298,10451,15061,3661,4662,4432,1383,57
1804169,131431,24706,12640,15558,11794,7313,7976,47
38260,31208,63850,24850,26732,8729,9447,14617,43
44962,23324,7436,4332,6862,2943,5264,2487,44
87066,95617,14370,4944,9769,12274,7563,5662,44
207463,182572,44753,18285,10470,5158,7625,4990,35
2560753,200632,54488,68344,47129,50460,26286,5344,41
527596,31041,10526,5119,4297,3830,2371,1503,41
668238,734573,324093,65536,62509,30673,23681,14339,29
640660,25442,10342,7395,8572,3369,904,481,41
470437,176069,12316,20468,7084,14168,8437,9598,35
589788,214941,24957,26824,103369,31509,11724,6568,37
1332080,39758,2117,7726,4908,3127,2262,1041,44
594398,45648,19899,42455,25554,12322,6141,13779,48
6794,10650,1569,19200,17628,11094,6761,5225,61
28063,25876,36751,16365,11297,7693,10158,4354,60
38782,43434,1593,5771,14444,5535,4273,2255,64
165064,74050,16128,2629,3060,1906,669,808,50
85675,69416,65283,18135,13589,9042,4985,6996,35
32584,38579,23049,9567,10366,4608,2601,2448,29
187131,38210,4808,18810,2503,3115,1468,437,23
101327,22764,23181,11775,4669,4583,6679,4009,35
12320,16428,18423,19920,9025,5253,3191,5616,40
51012,124795,38718,6976,12856,9152,6055,9399,38
120383,42163,2039,15014,13774,14354,8878,5702,51
529956,109377,20467,1088,7441,15450,6761,3945,56
189219,35598,3544,1564,1335,1463,1272,539,48
16875,9899,5988,7563,10734,7147,9436,2757,63
901363,135800,8983,13680,13366,23272,5665,20090,60
71661,30686,1341,14103,4129,22230,10922,13153,70
225254,211325,30934,12763,16642,45606,26244,11600,84
1557676,47026,36815,13595,14399,31581,13373,15694,87
79246,69293,22513,7254,12982,7241,6285,5288,80
19016,9047,6639,14400,12151,5500,4668,4031,70
17425,11095,28636,13253,14788,14058,14849,23357,75
131658,43835,50472,27388,23875,13218,9823,9335,64
178487,81346,10083,14651,12044,7306,13545,26207,64
22515,21011,9072,6588,18865,13574,13815,16587,70
15849,20308,15322,12955,7991,11674,7325,9303,70
53153,123498,48880,5966,27001,10861,5257,4323,66
60892,31417,10993,24315,24751,14259,8487,5526,75
61470,39168,20379,5134,9722,16585,6698,16291,70
170438,50486,25100,13522,2256,13619,5993,14521,67
59549,55270,35921,4997,2622,2008,2110,1485,57
276167,59230,9843,6140,8831,2145,1863,611,41
