delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
50918,21719,329,995,2146,3049,1636,766
43620,21524,9874,6894,4249,1593,2194,1737
87775,19458,12414,31994,20215,13654,9550,7085
126816,16266,3410,5747,9459,2541,1415,925
26006,16545,36376,2862,4039,5221,4233,3360
15774,34099,49981,23823,9796,5300,6336,2283
4328,27470,63930,11265,5491,9381,3129,3141
25642,36168,12000,9186,7696,8341,3507,6167
52943,14358,3780,2903,12255,7530,2300,875
96695,11497,468,3650,2383,3372,1216,503
11217,34286,3776,4378,10086,4085,2820,2260
9831,4808,12746,7654,2519,4123,3620,2402
2000,3883,494,4594,6627,5279,1950,3515
94475,75946,20260,23282,11749,6712,3839,3016
29562,43796,32117,26916,14311,5249,2347,1693
3313,26682,16135,3351,9375,6544,3545,3972
34619,32084,16219,8364,16487,8243,2550,2646
51722,13335,31553,15738,3786,8162,2578,2344
54898,9234,12339,4186,6295,7630,2207,1875
9853,21422,10263,2884,6936,4574,4624,2040
154390,88780,41794,16960,5372,4107,1650,2250
33355,27542,9929,13406,7485,11916,2464,1476
9471,5332,3487,1320,8078,4084,1851,1296
104546,28282,12656,6561,7452,3159,2652,1168
67756,39697,5957,4785,3411,2094,676,461
23966,6850,12678,4566,2845,6309,6010,3428
57454,26249,35053,2477,5462,7397,1382,2663
195059,76095,23998,10183,3721,8253,2374,3951
11262,20825,8862,9456,3702,5480,6294,4952
303758,234305,17273,4076,11867,5184,2149,1528
81402,41581,52805,18883,950,7761,983,1656
455053,47286,51942,12636,9048,2440,2918,3518
668610,377194,39511,10879,8979,7751,7287,9500
694211,140221,8620,6457,11571,20857,6491,6753
26213,24338,27756,7818,25412,7383,5934,4264
1577699,319900,77256,2966,16449,8992,4902,3372
339132,222743,24351,61309,11876,8703,2495,2794
129095,129454,9254,42056,8891,5564,2894,4136
81502,38786,101071,25131,10499,11291,3176,2902
14143,27370,10931,24275,10770,9886,5261,6196
376551,36453,29502,42360,7047,14231,4098,4589
45140,84138,15103,31462,8400,13661,10370,3680
412547,101134,45572,4176,17097,12197,5241,2715
103951,8534,16677,3704,7735,3201,2614,4146
105932,31966,3870,4474,1633,1374,1268,801
111484,16828,4302,4473,3382,1632,1009,1236
50232,25451,67732,16180,26468,8877,5978,3328
115774,146794,51240,19674,10092,7634,8041,2104
32395,18654,5084,4180,2311,2582,1156,1229
158895,152969,22986,25552,14718,5777,5216,3078
102156,250207,8166,8819,13905,5054,4148,5275
58543,12216,6581,6145,3254,1610,1807,1739
310758,176228,49957,37068,16865,15211,3801,5704
117697,38659,7424,4940,5416,2440,2428,1076
19481,75859,115395,9508,8590,3758,4146,2806
31753,13730,20865,3505,2432,6994,2023,2141
73251,14000,15065,4611,9230,8999,2737,1554
33571,28195,96778,13357,11014,10318,3209,2162
293559,13460,1632,5566,2149,2874,1655,897
231266,121912,56668,11532,27268,8812,7711,13299
76752,25025,4936,1653,2441,2432,1089,2018
1077494,53825,7643,10598,11486,3806,1442,1313
2203466,232094,43225,26350,30191,12593,5501,12964
130864,23561,5227,27785,20672,15600,5250,1909
444615,52437,21163,16772,8700,5093,5598,3343
575293,30337,2207,18307,3564,11097,12171,3732
65647,17468,8699,3702,6181,4445,2172,1012
142339,82846,19439,38726,3816,9528,4035,2501
462654,44227,45564,52441,4716,14833,6824,3204
237011,79774,33283,2460,1222,1939,1515,1087
18869,48096,18143,16488,18176,9728,4291,10304
4530,31227,65228,6821,7844,3787,2821,758
82289,38495,19416,11932,3194,9760,5892,2808
56795,325424,9950,4688,1393,5519,6852,3387
137655,86765,36858,12556,3660,11867,2291,3858
183576,11615,13053,5513,5405,4074,2988,3676
30521,68688,311,7704,1409,3468,3151,2970
72580,40327,2726,17855,7213,9115,2273,3770
139750,73139,39126,3704,9155,1467,4114,694
438150,89058,17994,20127,17238,4225,4630,2720
105239,64699,47284,21221,7167,7200,4863,5522
222533,55011,7137,4504,3798,2078,2131,401
86172,23850,49628,13314,6974,7680,9471,4548
76591,168787,15335,3501,6811,7702,3016,2563
609789,27025,56661,9024,6563,5755,3167,4045
81104,27131,7567,5809,3920,3428,985,422
132056,10454,5834,1891,1925,717,419,121
6136,23359,168324,6653,11138,6077,2307,1086
86755,66758,19412,36119,11821,5089,1990,1999
734478,73825,4300,1895,3520,5375,869,1571
1500003,77831,26909,9638,22403,15137,2491,1910
170839,99358,10665,19575,19542,7015,1760,2134
26728,171829,53018,2101,10067,13240,2907,1568
40987,9683,10758,2386,3508,2726,916,1274
247365,22404,56040,11151,9998,9942,10611,6848
58899,36088,9134,19872,17451,9536,6513,4409
150324,178730,45421,11332,35202,5513,3229,6662
34747,18112,12223,10972,11724,5718,3019,1764
48224,20041,72558,7543,8507,5267,2748,1954
23207,70144,40007,29996,10386,4298,3255,3626
38161,28648,15287,12912,3188,12862,1976,857
85727,47484,10564,21458,4564,9182,3458,3603
16291,32743,31212,4915,4871,4627,3884,1141
32493,36168,49520,2736,3102,6039,4348,2952
11704,31133,17173,11595,11547,4389,1448,989
64207,25176,21555,5464,5931,6454,5194,5915
98125,38959,6742,15881,6382,4288,2266,3043
31681,62796,9626,1184,3175,4656,2265,1369
43784,15472,102049,4837,6081,6861,2221,1914
61815,21192,71014,18564,9259,9343,9942,3321
30576,108319,98992,42628,13483,6114,4072,2148
166479,59144,32928,4947,9697,15726,9953,5864
93827,38189,3932,15934,5963,4727,7696,3366
349582,195178,24642,38169,4453,5761,2103,3381
1860447,83944,182912,7161,27083,5446,4711,2726
60193,43469,75553,2839,4690,10385,5381,679
57990,27666,23925,7189,7192,3112,4084,2820
11549,28077,25171,15825,9500,22834,2580,2464
37016,6084,5490,14951,30876,14058,5593,6072
375801,164113,47048,9152,13616,10153,2279,1456
15213,20521,1573,14623,2918,6526,4967,5284
236337,38313,6205,10850,2588,2492,2599,700
45153,25782,682,12622,6558,6867,2730,3152
109938,40465,17930,11288,13265,7702,4164,3488
895697,367679,105015,17936,11097,17734,7726,4830
614828,1393221,54570,46093,34651,21640,18709,5386
125163,38192,17538,7167,1776,2108,694,821
153199,11857,18157,6744,2576,2846,954,714
235584,113275,11263,21858,8222,7742,2107,3192
65266,17201,7144,21832,8702,6819,3945,2404
187212,87045,11607,22369,4765,14078,5635,2499
75285,255640,39638,24549,13053,9200,4898,2262
271634,65169,103773,20984,13921,7610,6141,5372
1557188,187238,45356,65798,54942,11793,5036,5329
313729,30438,12509,2804,3744,2241,616,294
81157,63120,45468,22475,20133,3913,3195,2725
418912,106452,11877,3691,1989,8938,1964,2311
39058,41146,32981,19076,8035,9161,2634,1191
78542,96905,46935,7048,5691,3993,2487,1084
137973,21709,109662,12025,2796,3123,3666,890
57202,31007,19436,9709,9982,8956,5288,2603
41810,26826,1933,9021,7863,869,1259,667
115804,54487,11978,6154,5001,6867,2151,2350
41380,46847,12339,27209,6895,19532,9093,3383
61596,69910,59148,24692,10841,12793,9450,9834
898800,161451,25076,14568,20943,3634,5397,3777
140300,109146,48344,17135,8420,8768,13058,3652
115918,25472,8068,17420,11577,2540,4307,1858
171687,128237,224308,8705,14312,23007,3190,3662
37186,52396,34206,15585,4752,5494,5823,4461
80664,35062,5844,9582,12498,3942,2724,3040
34216,61813,106198,11561,6038,4123,3609,1674
91909,13086,3714,3970,5676,2859,738,591
51723,62993,52018,15947,19209,8401,7566,2964
19915,16753,20736,3158,13100,3076,2418,1449
25793,39620,25759,8235,2185,5429,1860,1155
55462,72481,13089,14662,7519,8078,1011,959
148242,55143,21929,12289,10718,4771,2259,1954
23737,33078,6849,5278,6888,5133,2714,2620
105593,8135,17630,4223,22865,6321,3182,6538
48645,34315,75976,13660,14132,10723,5553,2301
16045,19954,19193,29309,4139,4445,1671,2514
46592,34211,13526,8360,13660,4090,2217,1699
35333,9476,8532,27484,11371,6316,3885,1791
112130,57800,93667,24012,18501,11222,6255,1579
447396,99998,36646,17826,11666,9580,4361,2556
56512,36102,18134,6916,11359,2959,6409,1374
119775,8302,12400,4180,1958,4013,1249,628
22998,55234,9856,6351,6265,9587,3957,5595
194240,44582,8137,1916,2069,4894,1479,528
850313,113949,79844,15589,21133,8492,9079,6480
138513,51013,21070,5623,11978,6001,4620,3350
67465,8249,10307,4353,6492,5831,6266,3841
13907,37985,61808,11771,5896,4258,4584,3427
55881,17407,19731,7185,5291,6798,3380,2011
277499,109156,172023,14602,9227,9007,4325,2841
131642,14173,17424,4326,11404,8754,3862,5248
55009,91193,48805,10689,8850,2588,1406,1742
70543,180748,80587,10863,6623,2170,8024,1284
41971,24428,27741,28670,11065,5781,4275,2308
266752,63709,24661,314,7737,1877,1582,1288
59527,50049,9040,7827,6453,6501,5184,4539
31383,38368,14877,23328,9758,6076,3202,1831
59481,75574,39818,14170,5086,4475,6051,2536
73429,65290,101788,1369,17568,4725,3848,4301
37420,22018,20674,10397,8156,8853,9951,4245
178322,10767,13593,2581,1038,1700,961,574
73394,182611,5571,7445,2717,4732,1454,1653
244868,91666,27535,3464,4044,16877,4316,2633
193376,204172,139026,14007,20467,11387,6053,2224
289851,25106,4312,1052,958,1641,882,578
250592,58508,41226,22148,29233,28916,8556,3235
1329553,125744,1973,33360,143147,108321,16023,4545
266002,16609,15679,23727,14687,7019,5943,2376
73961,29339,15634,54015,11569,7621,3288,2070
19623,57387,21900,9172,13307,3921,4154,1781
109550,55851,10694,16793,3158,14649,2301,1263
53545,20441,7381,15238,10814,9499,3555,747
18843,6715,14415,7810,13618,5229,2580,1944
121287,11932,13738,4004,4222,2877,1231,817
898364,37374,3218,11060,6840,4453,679,859
183412,12691,4495,759,1437,1625,1060,521
295707,358016,14179,36460,11867,10416,1702,2107
39931,73727,15488,19258,6687,8612,3176,8169
1556764,260568,52535,28206,10628,9798,3776,1828
541135,193604,87436,36816,13479,11332,5825,4772
133624,54405,16865,22466,13764,9614,9171,2817
33742,34168,31666,9102,13516,6970,3119,2658
183990,9654,7621,3817,5188,2095,1345,760
16533,7779,13335,3949,5227,4734,2822,7860
