delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1931987,190491,256020,80800,72117,75714,19070,8701
1305681,38423,12123,13161,80257,4681,16049,2381
585810,45935,50361,27153,8433,12621,5253,2897
846835,171521,30099,10476,9981,11307,6049,2663
1986705,662774,88796,61565,35431,86239,15184,6505
360400,97390,22914,9776,36359,8838,5767,1220
1109697,254512,2489,60158,157849,48274,25670,5933
774941,170292,51347,73472,51166,40934,39810,5939
1146079,237225,210508,57691,39481,47169,14132,4779
871897,49985,16821,9814,12338,7516,12841,1852
232746,145269,9746,24867,13817,15544,6686,1899
875437,7483,6204,16085,20075,6563,20898,1324
2048530,218695,328933,6859,98550,45671,21935,7892
345459,69570,74059,3738,10173,6373,13024,2545
2988105,339030,30192,78998,130330,42155,51987,6278
1743518,411666,78366,119607,47697,71423,18428,2461
1633917,104434,66914,28725,16104,17415,6111,2060
517776,63600,82120,25193,17842,25493,5072,2183
471510,49133,3274,17589,14747,23837,5031,2125
875805,318651,122142,26440,39447,86636,39581,4672
216741,503242,39900,186412,62784,30948,32378,6440
940270,185438,11260,194333,76701,27698,60411,8287
579348,215866,125919,83902,23206,43083,30923,7156
907417,79882,33494,21493,21207,13015,7367,2954
3204612,386068,194744,44357,70627,50457,13369,4640
182989,10567,1277,9180,7948,2174,2064,326
891884,458104,71802,102320,51410,68009,49765,6840
1318567,82690,34758,14253,25603,26276,10304,4085
1652832,200444,52804,110803,45560,37576,36991,9939
529246,163142,51304,21594,12750,7637,6592,1727
1377671,157536,41236,51750,203694,25142,32966,14703
1148178,250033,62938,76345,34780,32249,36015,7870
671687,79096,9673,39763,8340,11974,6507,2236
866323,216846,105811,125746,103227,35603,23197,7978
1322783,205879,63096,78081,116777,32660,57874,4195
834927,577467,70331,189140,40612,23553,30858,4446
1031314,36222,37172,11963,14969,10499,7831,2453
886082,13811,10575,51200,10617,12473,14703,2290
2966629,423037,80641,47549,79263,45854,46290,5279
1448188,177823,77091,48119,23979,46908,26543,4466
1153418,426837,3999,125328,36788,40165,23624,7323
402322,948285,97043,91537,64013,29115,20531,8798
1398924,46037,15302,4893,13707,9302,10560,1402
1270206,324720,51134,68969,98708,39039,30259,10746
1974646,239383,35760,44965,74959,45084,28521,8293
742425,818070,138428,35762,37307,35522,59875,2334
1747692,315352,242342,103424,114219,34588,53376,7237
2142892,325728,31907,68874,56342,36799,30861,10633
924191,251214,131443,51754,70217,36802,22151,7865
722059,103955,18039,12052,18166,17775,7286,864
779193,373720,134562,54440,87294,36663,18051,7917
631034,232466,29948,111005,40299,36343,35023,5464
579852,69973,46635,6939,11983,7269,9585,1961
1635421,455945,84732,214332,71075,58911,13439,4088
228734,15725,2652,5957,9300,2474,1132,467
1142500,358269,104230,83285,33058,59020,25074,7114
626746,89481,5636,4971,14744,20167,4077,1840
628893,57665,21749,15788,14407,12209,9263,2330
324610,79189,14460,16147,9339,14536,8815,879
347013,229159,40582,9777,10602,12756,10399,2285
341898,47745,11958,21015,9595,5852,7076,1470
296757,45769,48700,7684,13450,6036,8970,1171
314710,69249,23130,19196,16156,15856,15940,1722
1133378,92505,29340,20288,29925,17147,5881,1680
1468232,306351,89177,77824,37560,32493,25500,4185
317465,55656,23582,15107,14830,7478,4650,2097
1320505,176489,30210,30078,61542,49863,20948,3709
102957,97174,7511,53789,24037,12810,1701,974
965848,120385,18887,78883,46200,32589,24002,3738
902643,198179,153124,123398,32092,56349,15144,13051
1054006,96105,62996,127218,62625,19652,29100,10182
479805,70006,4250,31656,9983,6079,7540,1921
384293,149005,5299,6304,16051,10189,12073,1899
1466766,213885,44000,74207,27755,26116,20239,9075
1669327,260815,45761,67334,69685,38732,37374,1712
1113598,144981,191055,73399,28582,45287,23568,2725
152870,92993,20908,30266,13474,8806,8037,4271
1572297,116210,166766,82476,115711,54916,32497,11762
216333,62436,59990,32398,14688,12865,11028,2832
948294,227245,5829,16094,44789,19670,9973,1555
589581,65484,61767,19637,12068,11029,3824,1101
570291,56365,7244,20295,7637,10591,4678,1588
