attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
38,66,128941,26525,15832,65912,15832,7001,4366,3597,1
38,63,105649,23890,2969,13283,2969,1608,2011,2190,1
37,63,267883,94119,46439,50037,46439,12049,3434,1827,1
37,50,63014,33673,1517,3400,1517,2056,1430,553,1
37,30,149055,30501,3679,3343,3679,2611,2608,1981,1
37,29,512227,235252,91068,18598,91068,14082,11103,22520,1
38,29,354303,3374,3059,1513,3059,621,1665,1315,1
53,40,975641,219110,40410,139552,40410,98634,27087,56171,1
48,35,481592,137351,1864,14943,1864,6305,5200,5018,1
53,38,93106,9857,2349,5654,2349,1151,795,502,1
53,34,93096,5649,723,2864,723,765,561,655,1
27,21,240667,51057,4699,1990,4699,1193,756,702,1
37,34,138614,17662,6757,3785,6757,2651,1058,661,1
51,24,780051,36808,7402,7027,7402,13820,3130,5308,1
50,17,160302,53301,6969,5459,6969,5032,1988,4113,1
67,29,63169,18084,7977,1463,7977,2591,1507,2102,1
51,30,1509312,78236,15568,5006,15568,5526,2978,2633,1
41,40,145610,73656,23422,20893,23422,2915,3402,1627,1
37,38,430007,174124,41853,38314,41853,20695,9227,3074,1
34,30,1647485,424450,5329,85607,5329,36385,17786,2521,1
35,38,2122145,61475,7402,40571,7402,6842,10905,7015,1
40,40,35687,29104,6802,18892,6802,2177,2104,439,1
37,51,213576,9811,4787,14775,4787,1788,1237,1177,1
37,61,52148,73584,25684,37165,25684,10190,7670,2135,1
47,54,1158882,63746,11588,11488,11588,14623,3907,2851,1
60,47,32489,5227,459,1409,459,985,917,363,1
66,29,32635,12173,2688,7591,2688,3024,1705,1460,1
70,40,14504,6340,14546,2875,14546,5709,5760,2045,1
53,41,38835,16998,1705,4795,1705,585,1028,531,1
56,53,119435,9827,4322,6642,4322,1651,555,289,1
44,40,32105,95338,5269,34840,5269,6175,3436,2431,1
66,47,23384,13097,13112,5760,13112,8161,5476,2791,1
70,38,33690,66763,18754,5547,18754,10664,2846,2025,1
81,40,11457,4588,6382,4852,6382,5296,4046,1487,1
63,35,56865,41593,14194,12110,14194,3293,4253,2006,1
48,21,652010,527806,11066,26130,11066,14403,7467,7620,1
44,21,765614,76416,7373,15466,7373,5228,3944,5901,1
21,35,168391,22770,15021,102750,15021,4735,5176,3383,1
26,26,86933,21000,3170,677,3170,1893,817,744,1
43,44,71235,21437,14055,2352,14055,5478,2290,1825,1
48,47,28553,21059,3514,8270,3514,3063,2691,1336,1
66,37,13040,6166,2730,5253,2730,2909,2350,1496,1
63,37,68585,21789,2244,1798,2244,1380,662,473,1
63,38,84210,9052,8795,4860,8795,3511,4813,2586,1
74,47,7264,5498,10222,3786,10222,4436,2158,1785,1
66,50,7663,11185,10612,11502,10612,3644,1703,1160,1
75,53,365474,58223,12832,6473,12832,8558,1723,1382,1
70,57,218108,32310,9792,49377,9792,10093,3113,1404,1
54,57,103594,36601,11055,37701,11055,3661,2213,1968,1
53,63,87198,14022,18427,38030,18427,6371,1667,1794,1
47,78,45471,27778,7193,54234,7193,4816,2154,3914,1
34,74,143827,41770,8911,50224,8911,3292,5979,4562,1
34,66,102286,22518,1303,8373,1303,1481,1311,627,1
27,51,229358,36181,7806,6240,7806,2682,983,538,1
35,50,44048,19378,34932,15917,34932,7714,2473,2324,1
47,44,1074732,79737,21376,34658,21376,13674,3107,1721,1
40,38,152974,139594,13381,10632,13381,3329,4643,1075,1
44,41,27844,23842,10746,3486,10746,3386,830,1008,1
38,35,55062,46697,24284,9836,24284,4382,4939,1626,1
44,26,61925,30511,2194,4415,2194,7587,1937,1649,1
53,38,50144,39471,19110,12702,19110,3479,3367,1809,1
37,23,38380,63352,628,3974,628,1203,605,672,1
38,27,333073,64149,42918,34198,42918,10560,3244,3015,1
30,53,49494,9174,40418,14475,40418,6062,4879,3251,1
43,63,265295,77686,17562,26358,17562,5396,5162,1547,1
40,57,1140022,125248,38505,42773,38505,11805,2651,2550,1
34,44,87134,17171,10513,2479,10513,1404,313,324,1
21,30,242512,209099,5732,16729,5732,4465,1731,3196,1
20,27,121420,77574,16451,5160,16451,3676,5354,3336,1
17,23,367484,29972,8685,1761,8685,1859,4498,1452,1
8,26,222010,83768,21502,63154,21502,3055,3964,4186,1
10,40,82483,86863,21287,23372,21287,2919,4084,3795,1
26,43,25774,9029,4023,5155,4023,3760,1802,2738,1
37,50,93307,48894,42918,5543,42918,11373,7716,4542,1
43,48,139106,48581,17862,20808,17862,3032,5420,1106,1
41,30,76911,32298,1967,300,1967,512,1302,375,1
40,29,39085,9511,4682,7027,4682,5195,1149,1684,1
43,21,74363,16180,3415,1204,3415,977,459,386,1
69,44,9138,7083,4099,10753,4099,5439,2161,1465,1
74,60,64514,7112,32826,1208,32826,4647,2653,1424,1
77,53,4492,8798,2251,1493,2251,4475,1693,1478,1
87,56,1753,18686,3203,7025,3203,3608,1433,1509,1
80,53,6438,8940,9309,3428,9309,3003,1546,2857,1
75,40,20953,21284,2981,9394,2981,2489,2080,3052,1
48,30,133031,20982,1816,463,1816,608,454,433,1
64,23,31278,4417,926,1454,926,5667,1263,860,1
60,14,19185,20831,8429,750,8429,3432,1142,1895,1
48,11,100594,90125,22709,4266,22709,2609,1450,1296,1
61,30,12002,4686,3429,7140,3429,1878,700,1186,1
47,43,28234,12793,5559,7067,5559,3696,1417,1184,1
44,47,15328,15923,3905,6277,3905,2518,1139,1943,1
54,51,5587,13707,6291,3816,6291,1693,152,769,1
57,44,10016,14716,2231,8646,2231,4279,997,1650,1
41,43,155622,71942,18847,19963,18847,2532,2199,1618,1
40,50,15731,8050,6825,8948,6825,1895,1709,1049,1
29,44,162415,53289,10104,7008,10104,1824,2234,1188,1
29,47,26820,9886,4460,4151,4460,3277,1613,566,1
41,30,35758,65541,4144,3303,4144,6063,2410,1923,1
37,24,1246994,99810,23895,19129,23895,5719,38960,7518,1
37,24,132206,22445,6093,11888,6093,6335,6815,5822,1
38,26,116847,52583,812,8573,812,6853,5246,8740,1
60,38,152384,17864,29365,22506,29365,22475,38564,21315,1
78,27,1285589,289839,37256,13139,37256,100556,54250,13868,1
77,13,317473,222203,9652,15703,9652,37570,19844,37760,1
67,23,944421,28590,11363,3217,11363,1781,3402,1313,1
77,11,193720,11086,3117,4061,3117,12878,3742,3933,1
77,23,201826,87415,12193,51681,12193,49422,15153,7123,1
69,26,772712,147401,15138,6856,15138,11368,6722,6962,1
70,27,430800,75126,27650,14381,27650,5431,6525,3026,1
48,29,111418,58490,18510,8151,18510,5273,7423,5680,1
47,38,48617,4095,15565,3810,15565,5962,5977,4010,1
50,53,225474,13693,7831,12001,7831,3604,8291,8815,1
61,57,54979,11254,11100,7454,11100,4431,6794,3014,1
70,63,112949,12509,4616,10644,4616,5596,3944,3210,1
64,57,469987,27824,13120,8171,13120,5177,6479,4843,1
56,61,191174,41858,39119,61164,39119,6465,6546,8678,1
56,60,59844,10116,1874,12055,1874,3756,4909,3818,1
35,48,252774,51155,2755,5474,2755,969,2153,564,1
30,41,138229,41423,5492,4891,5492,3671,4251,5788,1
26,27,395509,110162,20572,13104,20572,3893,4535,1868,1
27,16,166073,32488,4781,5699,4781,7391,8304,4564,1
47,20,371339,52454,7187,10666,7187,9156,4989,4237,1
57,37,8396,7368,32500,5109,32500,13237,4191,2122,1
63,43,122565,53841,33126,20105,33126,4945,4236,5313,1
63,51,24114,25598,8375,8113,8375,7962,5479,5854,1
64,56,11196,24365,14424,4442,14424,5763,3381,6646,1
57,38,63569,28531,3028,5581,3028,6288,1947,3462,1
74,38,7988,15828,4557,18721,4557,7987,6021,9312,1
70,43,96523,14185,11862,6281,11862,4992,5174,6120,1
80,44,165511,9227,12736,6750,12736,11046,3712,4225,1
70,44,99598,75510,16419,9450,16419,6908,19058,8797,1
69,30,222388,81664,10117,10076,10117,15826,5944,5595,1
63,17,444450,142221,4362,14077,4362,11740,7655,5909,1
48,24,166148,26042,19488,18936,19488,4200,2997,1845,1
56,27,239059,50698,9261,20455,9261,12702,5067,6209,1
44,30,291383,102293,24432,2334,24432,6863,3765,3551,1
48,35,542316,117091,3411,21883,3411,13643,5497,3427,1
47,21,409968,236871,34677,27096,34677,16488,4159,3265,1
35,23,201919,129076,18690,60515,18690,10856,4327,3030,1
40,23,651065,88864,17674,8633,17674,10149,4344,3766,1
37,29,146104,53852,15273,9889,15273,4678,3150,7218,1
37,29,451508,95063,14293,16302,14293,7595,5564,1309,1
40,26,834456,85483,4489,29191,4489,10071,9251,3977,1
47,20,208040,17187,1127,1823,1127,3414,1353,1278,1
41,16,310652,117342,16585,12570,16585,4959,5005,3246,1
56,24,440928,9443,8548,3207,8548,6606,2856,3542,1
60,13,1830603,293869,18704,11836,18704,34501,22469,15399,1
64,11,171764,33251,721,3442,721,12521,13109,4469,1
66,14,1600152,491270,31741,188677,31741,29691,28445,27585,1
60,14,1028830,66815,29842,19373,29842,15252,6862,10763,1
51,23,35419,33581,5127,4289,5127,1972,4709,3197,1
38,38,182518,119282,83096,27916,83096,19292,22190,10677,1
56,38,210279,35304,6646,9872,6646,14806,9979,4973,1
75,27,13600,8195,2145,5197,2145,15811,15261,15899,1
88,30,599109,32798,13809,3795,13809,11934,8509,10807,1
93,40,31504,7081,14397,21885,14397,7459,9845,4839,1
80,50,41572,25838,8010,33998,8010,5243,10825,5547,1
50,50,298493,103944,1273,21809,1273,4273,13073,4204,1
50,51,14310,23705,4898,14056,4898,11200,6321,5168,1
38,35,84883,90345,19679,6093,19679,5200,8418,6188,1
41,26,172529,75551,28343,10055,28343,12784,5653,6225,1
56,37,32593,12973,6970,9883,6970,4966,7641,7323,1
50,40,432006,19543,3706,15261,3706,4811,4400,2144,1
53,35,614654,99737,11475,3218,11475,7003,8150,2949,1
44,17,166506,224503,5530,3228,5530,11654,3021,8993,1
35,13,124318,22308,1737,5966,1737,1470,2157,1829,1
34,10,41378,36556,3725,14042,3725,5392,5787,2860,1
43,24,36484,7865,8145,5688,8145,4396,3347,3291,1
